FID,geom,addr:city,addr:housenumber,addr:postcode,addr:street,brand,brand:wikidata,brand:wikipedia,building,building:levels,contact:phone,contact:website,name,opening_hours,phone,roof:shape,shop,website,wheelchair,osm_id,osm_type,editlink,tutoriallink,toilets:wheelchair,check_date:opening_hours,roof:levels,clothes,operator,url,addr:country,image,wikimedia_commons,source,branch,disused:name,payment:cash,payment:credit_cards,payment:gift_card,payment:girocard,short_name,second_hand,building:levels:underground,email,fax,addr:place,roof:colour,surveillance,source:addr,source:geometry,check_date,ref:vatin,indoor,level,room,building:part,wheelchair:description,organic,payment:coins,payment:debit_cards,payment:electronic_purses,payment:maestro,payment:mastercard,payment:notes,payment:telephone_cards,payment:visa,old_name,last_checked,ref:shop:num,lastcheck,roof:orientation,karlsruhe:das_fest,reoccurence,temporary_amenity,watch:slowrider,addr:suburb,last_check,not:brand:wikidata,alt_name,name:de,closed:amenity,craft,old_name2,amenity,contact:facebook,contact:instagram,cuisine,man_made,update,wheelchair:step_height,office,note,contact:email,addr:housename,designation,entrance,internet_access,internet_access:fee,wikidata,wikipedia,dog,layer,old_name1,ref,changing_table,changing_table:location,outdoor_seating,fixme,description,opening_hours:signed,closed:name,closed:shop,start_date,mobile,name:en,currency:eur,stroller,closed:website,air_conditioning,payment:american_express,payment:contactless,abandoned:shop,addr:floor,payment:cards,contact:mobile,reservation
OSM_MRN_shop_clothes_4326_Point.11,POINT (8.622259633333334 49.682390366666674),Bensheim,"8,10",64625,Hauptstraße,Street One,Q61997265,,yes,,,,Street One,Mo-Fr 10:00-18:00; Sa 10:00-16:00; Su off; Ph off,+49 6251 984 5794,,clothes,https://www.street-one.de/shopfinder/Deutschland/Bensheim/37077-Street-One-Bensheim/,,123416340,way,https://www.openstreetmap.org/way/123416340,https://learnosm.org/de/beginner/,,,,,Mode Winkler GmbH,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.12,POINT (8.622307689999998 49.68111949),Bensheim,27,64625,Hauptstraße,Esprit,Q532746,en:Esprit Holdings,yes,3,,,Esprit,,,,clothes,,yes,123416348,way,https://www.openstreetmap.org/way/123416348,https://learnosm.org/de/beginner/,,,2,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.13,POINT (8.621795533333334 49.68236983333333),Bensheim,5,64625,Hauptstraße,,,,yes,,,,Modehaus Winkler,Mo-Fr 10:30-18:00; Sa 10:00-16:00; Su off; Ph off,+496251 10630,,clothes,https://www.mode-winkler.de/,,123586560,way,https://www.openstreetmap.org/way/123586560,https://learnosm.org/de/beginner/,,,,,Mode Winkler GmbH,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.14,POINT (8.62199805 49.68184217500001),Bensheim,17,64625,Hauptstraße,,,,yes,,,,Camel Active,Mo-Fr 10:00-18:00; Sa 10:-16:00; Su off; Ph off,+49 6251 707 7300,,clothes,,,123586597,way,https://www.openstreetmap.org/way/123586597,https://learnosm.org/de/beginner/,,,,,Mode Winkler GmbH,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.15,POINT (8.621850725 49.682573024999996),Bensheim,1,64625,Hauptstraße,comma,Q15803717,,yes,,,,comma,Mo-Fr 10:00-18:00; Sa 10:-16:00; Su off; Ph off,+49 6251 780 380,,clothes,https://www.mode-winkler.de/stores,,123586611,way,https://www.openstreetmap.org/way/123586611,https://learnosm.org/de/beginner/,,,,women,Mode Winkler GmbH,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.16,POINT (8.62216018 49.6803511),Bensheim,41,64625,Hauptstraße,Cecil,Q101246192,,yes,,,,Cecil,,,,clothes,,yes,123592356,way,https://www.openstreetmap.org/way/123592356,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.17,POINT (8.622590966666666 49.681264983333335),Bensheim,46,64625,Hauptstraße,,,,yes,,,,Fashion4You,,,,clothes,,,126548923,way,https://www.openstreetmap.org/way/126548923,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.18,POINT (8.6223168 49.68201325),Bensheim,20,64625,Hauptstraße,,,,yes,,,,Lieblings...,,+496251 8530165,,clothes,,no,126548924,way,https://www.openstreetmap.org/way/126548924,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,Nordsee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.19,POINT (8.62240364 49.68183952),,,,,,,,yes,,,,Paletti,Mo-Fr 10:00-19:00; Sa 10:00-16:00; Su off; Ph off,+49 6251 9843877,,clothes,,no,126548929,way,https://www.openstreetmap.org/way/126548929,https://learnosm.org/de/beginner/,,,,men;women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.20,POINT (8.8666463 49.250020675),Sinsheim,1,74889,Albert-Schweitzer-Straße,KiK,Q883965,en:KiK,yes,,,,KiK,,,,clothes,,,129118153,way,https://www.openstreetmap.org/way/129118153,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.21,POINT (8.468990025 49.485391025000006),Mannheim,6-7,68161,N5,,,,yes,,,,engelhorn sports,,,,clothes,,yes,136530678,way,https://www.openstreetmap.org/way/136530678,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.22,POINT (8.360093449999999 49.446324274999995),Mutterstadt,50b,67112,Ludwigshafener Straße,Takko Fashion,Q1371302,de:Takko,retail,,+49 6234 302188,,Takko Fashion,Mo-Sa 09:00-20:00; Su off,,,clothes,https://www.takko.com/de-de/stores/#!/l/mutterstadt/ludwigshafener-strasse-50b/1453,yes,156517797,way,https://www.openstreetmap.org/way/156517797,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,yes,yes,yes,yes,Takko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.23,POINT (8.504701274999999 49.447854687500005),Mannheim,74/76,68199,Casterfeldstraße,,,,yes,,,,Basilika Shirts for Fun Textilgroßhandel,,,,clothes,http://www.basilika-international.com/,,161273039,way,https://www.openstreetmap.org/way/161273039,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.24,POINT (8.987261149999998 49.46100906666666),Eberbach,17,69412,Adolf-Knecht-Straße,,,,yes,,,,Villa Kunterbunt,,,,clothes,,,168900910,way,https://www.openstreetmap.org/way/168900910,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.25,POINT (8.4424588625 49.4757580625),,,,,KiK,Q883965,de:KiK,apartments,,,,KiK,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,clothes,,,169209909,way,https://www.openstreetmap.org/way/169209909,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.26,POINT (8.52112666 49.41012239999999),Brühl,9,68782,Rheinauer Straße,,,,yes,,,,Mode Geppert Brühl,"Mo-Fr 09:00-13:00, 15:00-18:00; Sa 09:00-16:00",+49 6202 71210,,clothes,http://www.mode-geppert.de/,,175856050,way,https://www.openstreetmap.org/way/175856050,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,info@mode-geppert.de,+49 6202 74274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.27,POINT (8.685331727777779 49.330775905555555),Nußloch,11,69226,Max-Berk-Straße,Betty Barclay,Q850250,,commercial,,,,Betty Barclay,,+49 6224 900207,,clothes,,yes,176438003,way,https://www.openstreetmap.org/way/176438003,https://learnosm.org/de/beginner/,yes,,,women,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.28,POINT (8.56583639 49.39415561),Schwetzingen,2,68723,Friedrichsfelder Straße,,,,apartments,4,,,Schwetzinger Kleiderstube,"Mo-Fr 09:30-12:30, We 16:00-18:00, Sa 09:30-11:30",,gabled,clothes,,,176664932,way,https://www.openstreetmap.org/way/176664932,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.29,POINT (8.46810476923077 49.48667826923076),Mannheim,2-8,68161,,Peek & Cloppenburg,Q2066959,en:Peek & Cloppenburg,retail,5,,,Peek & Cloppenburg,Mo-Sa 10:00-20:00,+49 (0) 621 12530,flat,clothes,https://www.peek-cloppenburg.de/stores/20/,yes,180438025,way,https://www.openstreetmap.org/way/180438025,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,O3,#A08080,indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.30,POINT (8.610392899999999 49.4714534),,29,,,,,,yes,,,,Wagner Mode & Accessoires,,,,clothes,,,180671908,way,https://www.openstreetmap.org/way/180671908,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.31,POINT (8.659436883333333 49.54347325),Weinheim,19,69469,Beckstraße,,,,yes,,,,tek Studio,,,,clothes,http://www.tek-studio.de,,181324524,way,https://www.openstreetmap.org/way/181324524,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.32,POINT (8.609032528571428 49.472138685714285),,19,,,,,,yes,,,,NKD-Markt,,,,clothes,,,181489135,way,https://www.openstreetmap.org/way/181489135,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.33,POINT (9.32473904 49.52176842),Buchen (Odenwald),26,74722,Marktstraße,,,,apartments,,,,Mathes,"Mo,Tu,Th,Fr 09:00-12:30,14:00-18:00; We 09:00-12:30; Sa 09:00-13:00",+49 6281 3466,,clothes,,limited,188623745,way,https://www.openstreetmap.org/way/188623745,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.34,POINT (9.145416958333332 49.352745991666666),Mosbach,39,74821,Hauptstraße,C&A,Q701338,,yes,,,,C&A,Mo-Fr 09:30-19:00; Sa 09:30-18:30,,,clothes,https://www.c-and-a.com/,yes,191496744,way,https://www.openstreetmap.org/way/191496744,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,"LGL, www.lgl-bw.de",Bing 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.35,POINT (8.185468975 48.98042565),Berg (Pfalz),4a,76768,Mühläcker,KiK,Q883965,en:KiK,retail,,,,KiK,Mo-Fr 09:00-19:00; Sa 09:00-18:00,,,clothes,,,192072746,way,https://www.openstreetmap.org/way/192072746,https://learnosm.org/de/beginner/,,,,,,,DE,,,LGL-BW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.36,POINT (9.422709860000001 49.42834552),Osterburken,2/4,74706,Professor-Schumacher-Straße,NKD,Q927272,de:NKD,yes,,,,NKD,Mo-Fr 09:00-20:00; Sa 09:00-18:00,,flat,clothes,,yes,192348102,way,https://www.openstreetmap.org/way/192348102,https://learnosm.org/de/beginner/,,,,,,,,,,Bing 2012,,,,,,,,,,,,,#ad715a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.37,POINT (8.54203825 49.40844808333333),Brühl,29,68782,Albert-Bassermann-Straße,,,,retail,,,,Trendfabrik,Mo-Sa 10:00-20:00; Th 20:00-22:00,+49 (0) 6202 - 5 77 86 28,flat,clothes,http://www.trendfabrik.de/de/filialen/flagshipstore-bruehl.html,,215213730,way,https://www.openstreetmap.org/way/215213730,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.38,POINT (8.172030633333332 49.5577514),Grünstadt,76 A,67269,Kirchheimer Straße,Takko,Q1371302,de:Takko,yes,,,,Takko,,,,clothes,,,222800534,way,https://www.openstreetmap.org/way/222800534,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.39,POINT (8.867562020000001 49.25203182),Sinsheim,8a,74889,Breite Seite,Takko Fashion,Q1371302,de:Takko,yes,,,,Takko Fashion,Mo-Fr 09:00-20:00; Sa 09:00-18:00; Su off,+49 7261 406773,,clothes,,yes,231960190,way,https://www.openstreetmap.org/way/231960190,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,Takko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.40,POINT (8.66599324 49.454785599999994),,3,,Gewerbestraße,Takko,Q1371302,de:Takko,retail,,,,Takko,Mo-Sa 09:00-20:00,+49 6221 8729443,,clothes,https://www.takko-fashion.com/,yes,232854739,way,https://www.openstreetmap.org/way/232854739,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.41,POINT (8.231206622222224 49.14992021111111),Herxheim,2,76863,Im Riegel,KiK,Q883965,en:KiK,retail,2,,,KiK,Mo-Fr 09:00-20:00; Sa 09:00-18:00,,,clothes,https://www.kik.de/filialfinder/6711/Herxheim,yes,241947395,way,https://www.openstreetmap.org/way/241947395,https://learnosm.org/de/beginner/,,,,,KiK Textilien und Non-Food GmbH,,,,,,,,,,,,,,,info@kik-textilien.de,,,,,,,,DE 811671397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.42,POINT (8.2247163 49.140083725000004),Herxheim,5a,76863,Am Kleinwald,,,,yes,1,,,Rieder Stickerei,,,,clothes,http://rieder-stickerei.de/,,241957252,way,https://www.openstreetmap.org/way/241957252,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.43,POINT (8.43234114 49.31765023999999),Speyer,1,67346,Gutenbergstraße,,,,commercial,,,,Modehaus Charlott GmbH,,,,clothes,,,246388886,way,https://www.openstreetmap.org/way/246388886,https://learnosm.org/de/beginner/,,,,,,,DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.44,POINT (8.21478429090909 49.14821640909091),,20,,Niederhohlstraße,,,,yes,,,,Rieder Maßmanufaktur,"Mo-Fr 09:00-12:30,14:00-18:00; Sa 09:00-14:00",,,clothes,https://www.rieder-massmanufaktur.de/,no,255247645,way,https://www.openstreetmap.org/way/255247645,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.45,POINT (8.645397333333333 49.59769171666667),Hemsbach,27,69502,Auf den Besenäckern,KiK,Q883965,en:KiK,yes,,,,KiK,,,,clothes,,,261541658,way,https://www.openstreetmap.org/way/261541658,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_clothes_4326_Point.46,POINT (9.3688067 49.58264852),Walldürn,2,74731,Hauptstraße,,,,yes,,,,Uschi's Modeeck,,,,clothes,,,262146898,way,https://www.openstreetmap.org/way/262146898,https://learnosm.org/de/beginner/,,,,,,,DE,,,"LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
